Date,Session,LoginName,Password,TodaysSellPosition,TodaysBuyPosition,SellPositionUntilYesterday,BuyPositionUntilYesterday,SumOfSellPosition,SumOfBuyPosition,InitialCash,UnrealizedProfit,Profit,Margin,SumOfFee,Loan,SumOfInterest,Surplus,Cash,Status
31,1,su,supasswd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,1,U17_2,mypasswd1,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,1000000000,1000000000,1
31,1,URandomAgent,mypasswd1,0,0,0,0,0,0,1000000000,0,-82247000,0,0,0,0,917753000,917753000,1
31,1,UMovingAverageAgent,mypasswd2,0,0,0,0,0,0,1000000000,0,-502000,0,0,0,0,999498000,999498000,1
31,1,TrendStrategy,passwd1,0,0,0,0,0,0,1000000000,0,-3886000,0,0,0,0,996114000,996114000,1
31,1,AntiTrendStrategy1,passwd2,0,0,0,0,0,0,1000000000,0,-100612000,0,0,0,0,899388000,899388000,1
31,1,AntiTrendStrategy2,passwd3,0,0,0,0,0,0,1000000000,0,-80956000,0,0,0,0,919044000,919044000,1
31,1,SRandomStrategy0000,passwd4,0,0,0,0,0,0,1000000000,0,105394000,0,0,0,0,1105394000,1105394000,1
31,1,SRandomStrategy0001,passwd5,0,0,0,0,0,0,1000000000,0,73392000,0,0,0,0,1073392000,1073392000,1
31,1,SRandomStrategy0002,passwd6,0,0,0,0,0,0,1000000000,0,27599000,0,0,0,0,1027599000,1027599000,1
31,1,RsiStrategy,passwd7,0,0,0,0,0,0,1000000000,0,-72381000,0,0,0,0,927619000,927619000,1
31,1,SRsiStrategy1,passwd8,0,0,0,0,0,0,1000000000,0,29952000,0,0,0,0,1029952000,1029952000,1
31,1,SRsiStrategy2,passwd9,0,0,0,0,0,0,1000000000,0,22058000,0,0,0,0,1022058000,1022058000,1
31,1,SRsiStrategy3,passwd10,0,0,0,0,0,0,1000000000,0,-3638000,0,0,0,0,996362000,996362000,1
31,1,MovingAverageStrategy,passwd11,0,0,0,0,0,0,1000000000,0,-10172000,0,0,0,0,989828000,989828000,1
31,1,SMovingAverageStrategy1,passwd12,0,0,0,0,0,0,1000000000,0,-4516000,0,0,0,0,995484000,995484000,1
31,1,SMovingAverageStrategy2,passwd13,0,0,0,0,0,0,1000000000,0,8172000,0,0,0,0,1008172000,1008172000,1
31,1,SMovingAverageStrategy3,passwd14,0,0,0,0,0,0,1000000000,0,-856000,0,0,0,0,999144000,999144000,1
31,1,SFSpreadStrategy1,passwd15,0,0,0,0,0,0,1000000000,0,122899000,0,0,0,0,1122899000,1122899000,1
31,1,SFSpreadStrategy2,passwd16,0,0,0,0,0,0,1000000000,0,114208000,0,0,0,0,1114208000,1114208000,1
31,1,DayTradeStrategy1,passwd17,0,0,0,0,0,0,1000000000,0,-88618000,0,0,0,0,911382000,911382000,1
31,1,DayTradeStrategy2,passwd18,0,0,0,0,0,0,1000000000,0,-55290000,0,0,0,0,944710000,944710000,1
