Date,Session,LoginName,Password,TodaysSellPosition,TodaysBuyPosition,SellPositionUntilYesterday,BuyPositionUntilYesterday,SumOfSellPosition,SumOfBuyPosition,InitialCash,UnrealizedProfit,Profit,Margin,SumOfFee,Loan,SumOfInterest,Surplus,Cash,Status
16,5,su,supasswd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775800000,1
16,5,U17_2,mypasswd1,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,1000000000,1000000000,1
16,5,URandomAgent,mypasswd1,9,44,960,960,969,1004,1000000000,-883000,0,10500000,0,0,0,988617000,999117000,1
16,5,UMovingAverageAgent,mypasswd2,0,0,0,21,0,21,1000000000,126000,0,6300000,0,0,0,993826000,1000126000,1
16,5,TrendStrategy,passwd1,57,16,731,896,788,912,1000000000,-598000,0,37200000,0,0,0,962202000,999402000,1
16,5,AntiTrendStrategy1,passwd2,0,93,869,679,869,772,1000000000,-65741000,0,29100000,0,0,0,905159000,934259000,1
16,5,AntiTrendStrategy2,passwd3,0,132,941,601,941,733,1000000000,-48963000,0,62400000,0,0,0,888637000,951037000,1
16,5,SRandomStrategy0000,passwd4,58,0,491,697,549,697,1000000000,74935000,0,44400000,0,0,0,1030535000,1074935000,1
16,5,SRandomStrategy0001,passwd5,65,67,618,885,683,952,1000000000,43491000,0,80700000,0,0,0,962791000,1043491000,1
16,5,SRandomStrategy0002,passwd6,53,42,520,825,573,867,1000000000,56617000,0,88200000,0,0,0,968417000,1056617000,1
16,5,RsiStrategy,passwd7,0,0,649,440,649,440,1000000000,-47189000,0,62700000,0,0,0,890111000,952811000,1
16,5,SRsiStrategy1,passwd8,0,0,28,85,28,85,1000000000,11333000,0,17100000,0,0,0,994233000,1011333000,1
16,5,SRsiStrategy2,passwd9,0,0,119,128,119,128,1000000000,8624000,0,2700000,0,0,0,1005924000,1008624000,1
16,5,SRsiStrategy3,passwd10,0,0,147,44,147,44,1000000000,-29578000,0,30900000,0,0,0,939522000,970422000,1
16,5,MovingAverageStrategy,passwd11,0,0,48,87,48,87,1000000000,-9110000,0,11700000,0,0,0,979190000,990890000,1
16,5,SMovingAverageStrategy1,passwd12,89,0,80,94,169,94,1000000000,-4661000,0,22500000,0,0,0,972839000,995339000,1
16,5,SMovingAverageStrategy2,passwd13,78,0,65,66,143,66,1000000000,-3547000,0,23100000,0,0,0,973353000,996453000,1
16,5,SMovingAverageStrategy3,passwd14,40,0,76,75,116,75,1000000000,-856000,0,12300000,0,0,0,986844000,999144000,1
16,5,SFSpreadStrategy1,passwd15,44,0,364,576,408,576,1000000000,66840000,0,50400000,0,0,0,1016440000,1066840000,1
16,5,SFSpreadStrategy2,passwd16,59,0,538,726,597,726,1000000000,60390000,0,38700000,0,0,0,1021690000,1060390000,1
16,5,DayTradeStrategy1,passwd17,0,87,491,195,491,282,1000000000,-54613000,0,62700000,0,0,0,882687000,945387000,1
16,5,DayTradeStrategy2,passwd18,0,71,551,206,551,277,1000000000,-56617000,0,82200000,0,0,0,861183000,943383000,1
