Date,Session,LoginName,Password,TodaysSellPosition,TodaysBuyPosition,SellPositionUntilYesterday,BuyPositionUntilYesterday,SumOfSellPosition,SumOfBuyPosition,InitialCash,UnrealizedProfit,Profit,Margin,SumOfFee,Loan,SumOfInterest,Surplus,Cash,Status
28,8,su,supasswd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619200000,1
28,8,U17_2,mypasswd1,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,1000000000,1000000000,1
28,8,URandomAgent,mypasswd1,0,0,1744,1996,1744,1996,1000000000,-27419000,0,75600000,0,0,0,896981000,972581000,1
28,8,UMovingAverageAgent,mypasswd2,0,0,99,100,99,100,1000000000,-318000,0,300000,0,0,0,999382000,999682000,1
28,8,TrendStrategy,passwd1,0,0,1768,1725,1768,1725,1000000000,-19544000,0,12900000,0,0,0,967556000,980456000,1
28,8,AntiTrendStrategy1,passwd2,0,0,1489,1626,1489,1626,1000000000,-52893000,0,41100000,0,0,0,906007000,947107000,1
28,8,AntiTrendStrategy2,passwd3,0,0,1731,1869,1731,1869,1000000000,-31725000,0,41400000,0,0,0,926875000,968275000,1
28,8,SRandomStrategy0000,passwd4,0,0,1504,1461,1504,1461,1000000000,73871000,0,12900000,0,0,0,1060971000,1073871000,1
28,8,SRandomStrategy0001,passwd5,0,0,1608,1579,1608,1579,1000000000,34612000,0,8700000,0,0,0,1025912000,1034612000,1
28,8,SRandomStrategy0002,passwd6,0,0,1594,1718,1594,1718,1000000000,36566000,0,37200000,0,0,0,999366000,1036566000,1
28,8,RsiStrategy,passwd7,0,0,1011,1112,1011,1112,1000000000,-26038000,0,30300000,0,0,0,943662000,973962000,1
28,8,SRsiStrategy1,passwd8,0,0,323,188,323,188,1000000000,9180000,0,40500000,0,0,0,968680000,1009180000,1
28,8,SRsiStrategy2,passwd9,0,0,358,225,358,225,1000000000,-154000,0,39900000,0,0,0,959946000,999846000,1
28,8,SRsiStrategy3,passwd10,0,0,337,188,337,188,1000000000,-28240000,0,44700000,0,0,0,927060000,971760000,1
28,8,MovingAverageStrategy,passwd11,0,0,248,210,248,210,1000000000,-17164000,0,11400000,0,0,0,971436000,982836000,1
28,8,SMovingAverageStrategy1,passwd12,0,0,310,279,310,279,1000000000,-10220000,0,9300000,0,0,0,980480000,989780000,1
28,8,SMovingAverageStrategy2,passwd13,0,0,259,199,259,199,1000000000,-2868000,0,18000000,0,0,0,979132000,997132000,1
28,8,SMovingAverageStrategy3,passwd14,0,0,263,233,263,233,1000000000,-6376000,0,9000000,0,0,0,984624000,993624000,1
28,8,SFSpreadStrategy1,passwd15,0,0,1173,986,1173,986,1000000000,71295000,0,56100000,0,0,0,1015195000,1071295000,1
28,8,SFSpreadStrategy2,passwd16,0,0,1255,1101,1255,1101,1000000000,63912000,0,46200000,0,0,0,1017712000,1063912000,1
28,8,DayTradeStrategy1,passwd17,0,0,601,833,601,833,1000000000,-36696000,0,69600000,0,0,0,893704000,963304000,1
28,8,DayTradeStrategy2,passwd18,0,0,729,776,729,776,1000000000,-29781000,0,14100000,0,0,0,956119000,970219000,1
