LoginName,Password,Attribute,Connection,Access(Allow_All)(CHART:BOARD:ORDER:ORDER_RESULT:PROFIT:POSITION:STDOUT),RealName,SystemParameters,Seed,InitialCash,TradingUnit,FeePerUnit,MarginRate,MaxLoan,Interest
URandomAgent,mypasswd1,Machine,Local,,strategy_v2.URandomAgent,,123,1000000000,1000,0,300000,30000000,0.1
UMovingAverageAgent,mypasswd2,Machine,Local,,strategy_v2.UMovingAverageAgent,,2,1000000000,1000,0,300000,30000000,0.1
TrendStrategy,passwd1,Machine,Local,,strategy.TrendStrategy,,1,1000000000,1000,0,300000,30000000,0.1
AntiTrendStrategy1,passwd2,Machine,Local,,strategy.AntiTrendStrategy,,2,1000000000,1000,0,300000,30000000,0.1
AntiTrendStrategy2,passwd3,Machine,Local,,strategy.AntiTrendStrategy,,3,1000000000,1000,0,300000,30000000,0.1
SRandomStrategy0000,passwd4,Machine,Local,,strategy.SRandomStrategy,,4,1000000000,1000,0,300000,30000000,0.1
SRandomStrategy0001,passwd5,Machine,Local,,strategy.SRandomStrategy,,5,1000000000,1000,0,300000,30000000,0.1
SRandomStrategy0002,passwd6,Machine,Local,,strategy.SRandomStrategy,,6,1000000000,1000,0,300000,30000000,0.1
RsiStrategy,passwd7,Machine,Local,,strategy.RsiStrategy,,7,1000000000,1000,0,300000,30000000,0.1
SRsiStrategy1,passwd8,Machine,Local,,strategy.SRsiStrategy,,8,1000000000,1000,0,300000,30000000,0.1
SRsiStrategy2,passwd9,Machine,Local,,strategy.SRsiStrategy,,9,1000000000,1000,0,300000,30000000,0.1
SRsiStrategy3,passwd10,Machine,Local,,strategy.SRsiStrategy,,10,1000000000,1000,0,300000,30000000,0.1
MovingAverageStrategy,passwd11,Machine,Local,,strategy.MovingAverageStrategy,,11,1000000000,1000,0,300000,30000000,0.1
SMovingAverageStrategy1,passwd12,Machine,Local,,strategy.SMovingAverageStrategy,,12,1000000000,1000,0,300000,30000000,0.1
SMovingAverageStrategy2,passwd13,Machine,Local,,strategy.SMovingAverageStrategy,,13,1000000000,1000,0,300000,30000000,0.1
SMovingAverageStrategy3,passwd14,Machine,Local,,strategy.SMovingAverageStrategy,,14,1000000000,1000,0,300000,30000000,0.1
SFSpreadStrategy1,passwd15,Machine,Local,,strategy.SFSpreadStrategy,,15,1000000000,1000,0,300000,30000000,0.1
SFSpreadStrategy2,passwd16,Machine,Local,,strategy.SFSpreadStrategy,,16,1000000000,1000,0,300000,30000000,0.1
DayTradeStrategy1,passwd17,Machine,Local,,strategy.DayTradeStrategy,,7,1000000000,1000,0,300000,30000000,0.1
DayTradeStrategy2,passwd18,Machine,Local,,strategy.DayTradeStrategy,,18,1000000000,1000,0,300000,30000000,0.1
h01_1,h01_1,Human,Remote,,h01_1,,,1000000000,1000,0,300000,30000000,0.1
h01_2,h01_2,Human,Remote,,h01_2,,,1000000000,1000,0,300000,30000000,0.1
h01_3,h01_3,Human,Remote,,h01_3,,,1000000000,1000,0,300000,30000000,0.1
h02_1,h02_1,Human,Remote,,h02_1,,,1000000000,1000,0,300000,30000000,0.1
h02_2,h02_2,Human,Remote,,h02_2,,,1000000000,1000,0,300000,30000000,0.1
h02_3,h02_3,Human,Remote,,h02_3,,,1000000000,1000,0,300000,30000000,0.1
h03_1,h03_1,Human,Remote,,h03_1,,,1000000000,1000,0,300000,30000000,0.1
h03_2,h03_2,Human,Remote,,h03_2,,,1000000000,1000,0,300000,30000000,0.1
h03_3,h03_3,Human,Remote,,h03_3,,,1000000000,1000,0,300000,30000000,0.1
h04_1,h04_1,Human,Remote,,h04_1,,,1000000000,1000,0,300000,30000000,0.1
h04_2,h04_2,Human,Remote,,h04_2,,,1000000000,1000,0,300000,30000000,0.1
h04_3,h04_3,Human,Remote,,h04_3,,,1000000000,1000,0,300000,30000000,0.1
h05_1,h05_1,Human,Remote,,h05_1,,,1000000000,1000,0,300000,30000000,0.1
h05_2,h05_2,Human,Remote,,h05_2,,,1000000000,1000,0,300000,30000000,0.1
h05_3,h05_3,Human,Remote,,h05_3,,,1000000000,1000,0,300000,30000000,0.1
h06_1,h06_1,Human,Remote,,h06_1,,,1000000000,1000,0,300000,30000000,0.1
h06_2,h06_2,Human,Remote,,h06_2,,,1000000000,1000,0,300000,30000000,0.1
h06_3,h06_3,Human,Remote,,h06_3,,,1000000000,1000,0,300000,30000000,0.1
h07_1,h07_1,Human,Remote,,h07_1,,,1000000000,1000,0,300000,30000000,0.1
h07_2,h07_2,Human,Remote,,h07_2,,,1000000000,1000,0,300000,30000000,0.1
h07_3,h07_3,Human,Remote,,h07_3,,,1000000000,1000,0,300000,30000000,0.1
h07_4,h07_4,Human,Remote,,h07_4,,,1000000000,1000,0,300000,30000000,0.1
h08_1,h08_1,Human,Remote,,h08_1,,,1000000000,1000,0,300000,30000000,0.1
h08_2,h08_2,Human,Remote,,h08_2,,,1000000000,1000,0,300000,30000000,0.1
h08_3,h08_3,Human,Remote,,h08_3,,,1000000000,1000,0,300000,30000000,0.1
h08_4,h08_4,Human,Remote,,h08_4,,,1000000000,1000,0,300000,30000000,0.1
h09_1,h09_1,Human,Remote,,h09_1,,,1000000000,1000,0,300000,30000000,0.1
h09_2,h09_2,Human,Remote,,h09_2,,,1000000000,1000,0,300000,30000000,0.1
h09_3,h09_3,Human,Remote,,h09_3,,,1000000000,1000,0,300000,30000000,0.1
h09_4,h09_4,Human,Remote,,h09_4,,,1000000000,1000,0,300000,30000000,0.1
h10_1,h10_1,Human,Remote,,h10_1,,,1000000000,1000,0,300000,30000000,0.1
h10_2,h10_2,Human,Remote,,h10_2,,,1000000000,1000,0,300000,30000000,0.1
h10_3,h10_3,Human,Remote,,h10_3,,,1000000000,1000,0,300000,30000000,0.1
h10_4,h10_4,Human,Remote,,h10_4,,,1000000000,1000,0,300000,30000000,0.1
h11_1,h11_1,Human,Remote,,h11_1,,,1000000000,1000,0,300000,30000000,0.1
h11_2,h11_2,Human,Remote,,h11_2,,,1000000000,1000,0,300000,30000000,0.1
h11_3,h11_3,Human,Remote,,h11_3,,,1000000000,1000,0,300000,30000000,0.1
h12_1,h12_1,Human,Remote,,h12_1,,,1000000000,1000,0,300000,30000000,0.1
h12_2,h12_2,Human,Remote,,h12_2,,,1000000000,1000,0,300000,30000000,0.1
h12_3,h12_3,Human,Remote,,h12_3,,,1000000000,1000,0,300000,30000000,0.1
h13_1,h13_1,Human,Remote,,h13_1,,,1000000000,1000,0,300000,30000000,0.1
h13_2,h13_2,Human,Remote,,h13_2,,,1000000000,1000,0,300000,30000000,0.1
h13_3,h13_3,Human,Remote,,h13_3,,,1000000000,1000,0,300000,30000000,0.1
h14_1,h14_1,Human,Remote,,h14_1,,,1000000000,1000,0,300000,30000000,0.1
h14_2,h14_2,Human,Remote,,h14_2,,,1000000000,1000,0,300000,30000000,0.1
h14_3,h14_3,Human,Remote,,h14_3,,,1000000000,1000,0,300000,30000000,0.1
h15_1,h15_1,Human,Remote,,h15_1,,,1000000000,1000,0,300000,30000000,0.1
h15_2,h15_2,Human,Remote,,h15_2,,,1000000000,1000,0,300000,30000000,0.1
h15_3,h15_3,Human,Remote,,h15_3,,,1000000000,1000,0,300000,30000000,0.1
h15_4,h15_4,Human,Remote,,h15_4,,,1000000000,1000,0,300000,30000000,0.1
h16_1,h16_1,Human,Remote,,h16_1,,,1000000000,1000,0,300000,30000000,0.1
h16_2,h16_2,Human,Remote,,h16_2,,,1000000000,1000,0,300000,30000000,0.1
h16_3,h16_3,Human,Remote,,h16_3,,,1000000000,1000,0,300000,30000000,0.1
h16_4,h16_4,Human,Remote,,h16_4,,,1000000000,1000,0,300000,30000000,0.1
h17_1,h17_1,Human,Remote,,h17_1,,,1000000000,1000,0,300000,30000000,0.1
h17_2,h17_2,Human,Remote,,h17_2,,,1000000000,1000,0,300000,30000000,0.1
h17_3,h17_3,Human,Remote,,h17_3,,,1000000000,1000,0,300000,30000000,0.1
h18_1,h18_1,Human,Remote,,h18_1,,,1000000000,1000,0,300000,30000000,0.1
h18_2,h18_2,Human,Remote,,h18_2,,,1000000000,1000,0,300000,30000000,0.1
h18_3,h18_3,Human,Remote,,h18_3,,,1000000000,1000,0,300000,30000000,0.1
h18_4,h18_4,Human,Remote,,h18_4,,,1000000000,1000,0,300000,30000000,0.1
h19_1,h19_1,Human,Remote,,h19_1,,,1000000000,1000,0,300000,30000000,0.1
h19_2,h19_2,Human,Remote,,h19_2,,,1000000000,1000,0,300000,30000000,0.1
h19_3,h19_3,Human,Remote,,h19_3,,,1000000000,1000,0,300000,30000000,0.1
h20_1,h20_1,Human,Remote,,h20_1,,,1000000000,1000,0,300000,30000000,0.1
h20_2,h20_2,Human,Remote,,h20_2,,,1000000000,1000,0,300000,30000000,0.1
h20_3,h20_3,Human,Remote,,h20_3,,,1000000000,1000,0,300000,30000000,0.1
h20_4,h20_4,Human,Remote,,h20_4,,,1000000000,1000,0,300000,30000000,0.1
h21_1,h21_1,Human,Remote,,h21_1,,,1000000000,1000,0,300000,30000000,0.1
h21_2,h21_2,Human,Remote,,h21_2,,,1000000000,1000,0,300000,30000000,0.1
h21_3,h21_3,Human,Remote,,h21_3,,,1000000000,1000,0,300000,30000000,0.1
h21_4,h21_4,Human,Remote,,h21_4,,,1000000000,1000,0,300000,30000000,0.1
h22_1,h22_1,Human,Remote,,h22_1,,,1000000000,1000,0,300000,30000000,0.1
h22_2,h22_2,Human,Remote,,h22_2,,,1000000000,1000,0,300000,30000000,0.1
h22_3,h22_3,Human,Remote,,h22_3,,,1000000000,1000,0,300000,30000000,0.1
h22_4,h22_4,Human,Remote,,h22_4,,,1000000000,1000,0,300000,30000000,0.1
h23_1,h23_1,Human,Remote,,h23_1,,,1000000000,1000,0,300000,30000000,0.1
h23_2,h23_2,Human,Remote,,h23_2,,,1000000000,1000,0,300000,30000000,0.1
h23_3,h23_3,Human,Remote,,h23_3,,,1000000000,1000,0,300000,30000000,0.1
h24_1,h24_1,Human,Remote,,h24_1,,,1000000000,1000,0,300000,30000000,0.1
h24_2,h24_2,Human,Remote,,h24_2,,,1000000000,1000,0,300000,30000000,0.1
h24_3,h24_3,Human,Remote,,h24_3,,,1000000000,1000,0,300000,30000000,0.1
U01_1,abe,Machine,Local,,strategy_v2.U01_1,,5,1000000000,1000,0,300000,30000000,0.1
